"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","@P2 TC-SF04 — High Quality warning is shown when toggle is enabled","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-SF04 — High Quality warning disappears when toggle is disabled","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-SF04 — High Quality warning is shown when toggle is enabled","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","2866","@P3 TC-H05 — Refresh button reloads video list without full page navigation","mobile-chrome","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1","@P1 TC-SF05b — Empty script: submitting shows validation feedback","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P1 TC-S08a — Empty prompt: generate button is disabled","webkit","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P1 TC-S08b — Empty prompt: submitting shows user-facing validation feedback","chromium","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","2709","@P2 TC-SF03 — Settings applied: 12s-portrait-hq","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-SF03 — Settings applied: 12s-portrait-hq","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-S07 — HQ toggle is present and defaults to off","webkit","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","1450","@P1 TC-S03 — Count 5 (maximum (5)) updates generate button label","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","5349","@P2 TC-SF04 — High Quality warning is shown when toggle is enabled","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-H07 — Clearing cookies results in a new UUID on revisit","webkit","2026-03-17","skipped","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","0","@smoke @P1 TC-S01 — Studio page loads with correct heading","webkit","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@smoke @P1 TC-SF01 — Stock Footage page loads with correct heading","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P2 TC-S06 — Default aspect ratio is Landscape","chromium","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","1","@P2 TC-S06 — Can switch back to Landscape from Portrait","firefox","2026-03-17","skipped","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","0","@P1 TC-S03 — Count 3 (default (3)) updates generate button label","chromium","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1","@P2 TC-S07 — HQ toggle can be enabled","webkit","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","4148","@P2 TC-N01 — App logo/title link returns to Studio from any page","mobile-safari","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P1 TC-S03 — Count 5 (maximum (5)) updates generate button label","webkit","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","2341","@P1 TC-S01 — Prompt textarea accepts input and generate button is present","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","2063","@P2 TC-N01 — Clicking Studio nav returns to the Studio page","mobile-safari","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","0","@P2 TC-SF03 — Settings applied: 4s-landscape-standard","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","4348","@P2 TC-N01 — Clicking Stock Footage nav loads the Stock Footage Generator page","chromium","2026-03-17","failed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1775","@P1 TC-SF05a — Empty script: Parse Script button is disabled","mobile-chrome","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","3962","@P2 TC-H04 — First video card contains a cookie ID","mobile-safari","2026-03-17","passed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
